              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  134.11  110 14.38   350.85   29  9.94  38 10 52  2.44 2.72 30.41
    8.90   19  0.16   865.36  161 136.18  20  9 71  2.22 2.66 30.07
    8.16   30  0.24   913.73  152 135.24  17  9 74  2.18 2.64 29.74
    8.44   20  0.16   932.46  149 135.55  19  9 71  2.39 2.67 29.44
    7.23   20  0.14   913.58  156 139.04  19 10 71  2.17 2.61 29.10
    7.48   26  0.19   917.62  149 133.90  18  9 73  2.47 2.66 28.81
    7.97   15  0.12   880.08  160 137.80  22 11 67  2.80 2.72 28.52
    8.67   17  0.14   917.25  155 138.59  18 10 72  2.60 2.68 28.21
    7.65   31  0.23   884.03  157 135.18  19 10 71  2.87 2.74 27.93
    7.56   16  0.12   932.30  151 137.04  17  9 74  2.73 2.71 27.63
    8.20   16  0.13   922.19  151 136.20  17  9 74  2.61 2.69 27.33
    8.34   22  0.18   916.31  152 135.88  18  8 74  2.75 2.71 27.05
    8.73   10  0.08   913.60  159 142.07  17  8 75  2.73 2.71 26.76
    9.23   16  0.15   884.89  159 137.58  18  9 73  2.91 2.75 26.49
    8.56   28  0.23   919.69  148 133.30  19  9 72  2.77 2.72 26.21
    9.22   10  0.09   938.35  153 140.14  23 10 67  2.73 2.71 25.93
    8.34   86  0.70   652.34  184 117.44  20 11 69  2.71 2.71 25.66
    7.96   19  0.15   945.15  147 135.36  16  8 75  3.04 2.78 25.41
   10.92   14  0.15   911.36  154 137.31  20  9 71  3.02 2.79 25.15
   16.69   32  0.53   831.13  159 128.69  20 10 70  2.86 2.76 24.88
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    9.76   20  0.19   926.82  147 133.01  19  9 73  2.66 2.72 24.61
    8.82   13  0.11   929.04  152 137.77  17  9 74  2.95 2.78 24.37
    8.62   26  0.22   860.86  158 132.71  17  9 74  2.80 2.75 24.11
    9.18   55  0.49   683.75  188 125.61  26 10 63  2.97 2.79 23.87
    9.15   37  0.33   772.38  175 132.23  27 11 62  3.39 2.88 23.66
    9.44   55  0.51   650.04  201 127.37  22 10 69  3.40 2.90 23.42
   10.98   40  0.43   749.00  173 126.82  22 10 67  4.12 3.07 23.24
    9.69   37  0.35   821.10  161 129.06  26 10 64  4.05 3.09 23.01
   19.29   17  0.33   880.12  160 137.47  20  9 71  3.81 3.07 22.77
    9.56   26  0.24   860.49  158 132.38  25 10 64  3.53 3.03 22.53
   10.19   20  0.20   898.73  154 134.76  31 11 58  4.92 3.35 22.42
    8.42   40  0.33   792.19  174 134.39  40 13 47  5.15 3.46 22.23
    9.10   43  0.39   843.65  156 128.84  19  9 72  4.75 3.43 22.00
    9.24  197  1.78   451.24  237 104.34  40 13 47  5.43 3.61 21.85
    8.93  131  1.14   460.65  238 107.01  52 16 33  5.20 3.62 21.64
    8.21   33  0.26   793.86  171 132.22  46 13 41  5.02 3.63 21.43
   31.76   25  0.78   827.40  164 132.72  36 12 52  4.71 3.61 21.22
    6.53   24  0.16   882.62  158 135.81  19 10 71  4.06 3.51 20.97
    6.20   50  0.30   871.25  152 129.27  24 10 66  3.74 3.46 20.75
    6.14   33  0.20   844.27  161 132.34  22 10 69  3.99 3.53 20.57
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    7.46   29  0.21   905.05  153 135.02  19  9 72  3.84 3.51 20.37
    6.57   39  0.25   879.80  155 132.78  19  9 72  3.64 3.47 20.16
    9.92   15  0.15   921.60  146 131.29  18  8 74  4.20 3.60 20.01
    7.59    9  0.07   906.92  154 136.17  24 10 66  3.93 3.57 19.80
    7.15   39  0.27   889.42  147 127.70  16  8 76  3.48 3.48 19.58
    7.67   11  0.08   913.04  153 136.53  18  8 73  3.48 3.48 19.40
    7.44   22  0.16   885.28  153 132.42  21  9 70  3.66 3.52 19.22
  176.26  594 102.33   897.64  113 98.65  32 14 54  4.34 3.66 19.09
  724.41  278 196.67   629.73  119 73.22  35 16 49  3.91 3.59 18.88
    8.50   36  0.30   795.70  164 127.53  20  9 71  3.75 3.57 18.70
    7.53   32  0.23   932.34  139 126.86  20  9 71  3.40 3.50 18.50
    7.53   16  0.12   913.81  149 133.38  17  8 74  2.95 3.40 18.29
   53.70   32  1.68   859.89  156 130.71  22  9 69  3.21 3.44 18.12
   13.94   18  0.24   929.17  143 130.17  22  9 69  3.16 3.43 17.95
    9.41   18  0.17   887.18  155 134.46  19  8 73  2.83 3.34 17.75
    7.95   17  0.13   889.39  150 130.39  18  9 73  2.62 3.28 17.56
   10.13   18  0.18   914.94  149 132.85  17  8 75  2.30 3.19 17.36
    6.90   20  0.13   919.09  147 131.97  21  9 70  2.18 3.14 17.17
    6.02   34  0.20   920.51  145 130.38  17  9 74  2.23 3.11 17.00
    6.39   25  0.16   902.32  147 129.58  17  7 76  3.02 3.26 16.89
