              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  109.01  164 17.49   167.66   36  5.97  43 13 44  89.80 80.19 52.71
   68.89   49  3.28   119.56   20  2.36  93  7  0  123.36 87.76 55.72
  184.29   24  4.26   620.05    8  5.14  96  4  0  243.91 114.75 65.67
   95.25   73  6.82   538.82   17  8.94  96  4  0  360.70 144.00 76.62
  476.30   20  9.34   966.58   23 21.98  96  4  0  448.11 169.95 86.63
  730.18   14 10.34   953.56   40 37.71  96  4  0  547.04 200.30 98.37
  215.40   87 18.34   897.79   50 43.56  96  4  0  631.94 229.88 110.05
  334.08   62 20.23   912.57   54 48.48  95  5  0  690.33 255.74 120.64
  195.78  157 30.03   846.16   59 49.15  93  7  0  694.00 270.51 127.44
  176.14  885 152.14   803.58   58 45.26  85 15  0  699.12 285.38 134.38
  568.92  178 98.75   407.34   42 16.54  92  8  0  716.25 302.71 142.29
  193.72   38  7.13   778.12   10  7.90  96  4  0  724.31 318.08 149.62
  127.94   83 10.34   834.88   29 23.47  96  4  0  737.93 334.39 157.38
  168.03   70 11.45   815.21   52 41.30  96  4  0  721.73 344.07 162.87
   97.53  112 10.66   722.06   61 42.78  96  4  0  732.57 358.83 170.23
  170.78  323 53.88   733.73   56 40.48  91  9  0  733.43 371.27 176.84
  171.27  807 134.93   726.24   41 28.78  89 11  0  691.05 373.79 179.99
  421.89  102 42.17   585.80   16  9.26  96  4  0  651.39 375.37 182.79
   69.26  151 10.20   312.99   56 17.17  95  5  0  669.31 388.29 189.63
  196.99   41  7.90   930.73   37 33.43  96  4  0  643.40 391.69 193.14
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  236.56   42  9.72   839.02   51 41.44  96  4  0  660.19 403.58 199.67
  400.79  126 49.25   816.82   52 41.14  92  8  0  674.50 415.10 206.15
  739.81   68 49.47   836.56   84 68.52  90 10  0  692.29 427.47 212.98
    4.12   10  0.04   781.35  105 80.08  93  7  0  704.61 438.81 219.51
    6.14   61  0.36   631.54   35 21.77  95  5  0  711.46 449.02 225.69
    6.33   34  0.21   843.15   37 30.12  95  5  0  682.09 451.09 229.02
   36.67    3  0.11   852.64   50 41.38  95  5  0  663.59 454.49 232.81
    6.65   66  0.43   621.73   92 55.84  94  6  0  670.26 462.78 238.34
    6.95   13  0.09   902.56  120 105.45  91  9  0  686.15 473.02 244.59
   10.01   15  0.15   879.74  116 99.35  91  9  0  699.82 482.94 250.78
    5.53   40  0.22   813.38   49 38.76  95  5  0  705.07 491.19 256.42
    9.22   17  0.16   926.84   24 21.80  96  4  0  710.23 499.35 262.06
   10.21   14  0.14   863.78   39 33.31  96  4  0  677.70 499.05 264.71
    8.26   21  0.17   865.24   53 44.42  95  5  0  657.81 500.87 268.10
    4.00    4  0.02   926.82   99 89.47  91  9  0  664.96 507.54 273.19
   10.01   59  0.58   888.19  102 88.60  90 10  0  657.08 511.17 277.22
    8.67    2  0.02   903.17   41 36.41  95  5  0  668.36 518.35 282.50
   12.53   18  0.22   877.15   24 20.56  96  4  0  665.93 522.61 286.76
    9.73   30  0.29   860.17   35 29.22  96  4  0  658.02 525.44 290.50
    7.21   17  0.12   889.32   45 39.50  96  4  0  601.85 517.69 290.50
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    8.38   10  0.09   919.23   72 64.90  93  7  0  606.17 521.56 294.53
    7.89   11  0.09   935.71   98 89.81  91  9  0  572.26 516.82 295.49
    9.92   28  0.27   804.99  109 85.52  92  8  0  590.22 522.55 300.11
   10.58    8  0.08   947.04   40 36.70  95  5  0  576.08 521.49 302.32
   15.33    2  0.04   897.63   30 26.73  96  4  0  602.45 528.94 307.52
  192.75   87 16.29   682.42   35 23.65  95  5  0  626.15 536.46 312.78
  551.92   48 25.70   890.73   45 39.39  94  6  0  602.87 534.04 314.51
  187.65  270 49.54   796.03   41 31.79  91  9  0  629.45 542.04 319.92
  107.55  623 65.43   820.75   30 24.04  91  9  0  613.13 541.66 322.39
  865.73   62 52.31   811.91   18 14.50  94  6  0  607.55 542.62 325.28
  743.42   10  7.55   946.13   24 21.98  95  5  0  622.40 548.00 329.73
  297.16   28  8.27   877.09   39 33.05  96  4  0  615.35 548.97 332.63
  414.05   44 17.70   914.08   48 42.91  95  5  0  633.82 555.12 337.34
  549.57  102 54.55   889.00   47 40.61  92  8  0  648.76 560.95 341.95
  754.56  143 105.65   756.16   33 24.66  90 10  0  625.14 558.96 343.82
  678.66   44 29.15   861.73   27 22.71  94  6  0  602.64 556.07 345.29
   14.52   30  0.43   872.59   40 33.82  96  4  0  586.42 554.39 347.17
   17.00    1  0.01   960.17   50 46.49  96  4  0  613.83 561.32 352.06
   44.29    3  0.12   889.72   62 53.59  96  4  0  613.93 563.18 355.16
  237.14    3  0.81   940.14  101 92.96  92  8  0  633.14 568.98 359.65
