              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  255.06   82 20.40   178.12  395 68.78  38  7 55  84.66 490.82 419.73
   11.20    0  0.01   761.29    6  4.61  19  2 79  71.80 474.69 414.83
    4.00    0  0.00  1005.79    6  5.50  19  2 79  60.99 459.11 410.00
   75.54    3  0.19   329.59   22  6.95  19  2 79  51.92 444.06 405.24
    4.00    0  0.00  1012.67    9  8.90  19  2 79  44.46 429.55 400.54
   10.91    1  0.01   124.68   47  5.78  19  2 79  37.86 415.45 395.88
  159.10    4  0.62   227.70   21  4.76  18  2 79  32.19 401.81 391.26
    6.64   47  0.30    78.14  119  9.06  23  4 73  27.48 388.63 386.71
   60.81   40  2.38   129.17   57  7.20  20  2 78  23.56 375.89 382.21
    6.21  144  0.87    55.54  241 13.05  25  5 70  20.47 363.63 377.79
   61.81  127  7.66    90.44  139 12.28  19  2 80  17.56 351.71 373.39
    4.00    0  0.00   772.93    7  5.21  18  2 80  15.24 340.21 369.06
   22.40    5  0.11   270.58   30  8.03  19  2 80  13.20 329.07 364.77
    4.00    0  0.00   955.92   10  9.71  19  2 80  11.40 318.28 360.52
   11.00    0  0.00   972.03   16 14.90  19  2 79  10.03 307.89 356.34
    7.09    3  0.02   284.14   25  6.96  19  2 79  8.72 297.80 352.19
   17.33    1  0.01   670.30   10  6.61  19  2 80  7.69 288.06 348.10
   40.00    2  0.09   349.17   19  6.65  18  2 80  6.81 278.64 344.06
    9.20    2  0.02   351.02   20  6.72  19  2 80  6.07 269.53 340.06
    4.00    0  0.00   625.17    4  2.50  19  2 80  5.52 260.73 336.11
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   11.00    0  0.00   832.75    5  3.90  19  2 79  4.90 252.20 332.20
   10.57    3  0.03   339.82   18  5.94  19  2 79  4.45 243.96 328.34
   98.50    1  0.08   550.89   10  5.22  19  2 80  4.07 235.99 324.53
    4.00    0  0.00  1015.50   12 11.90  18  2 80  3.83 228.30 320.77
  441.43    3  1.21   420.20   22  9.11  18  2 80  3.55 220.85 317.04
    4.00    0  0.00  1024.00    2  1.80  19  2 79  3.31 213.64 313.36
   36.80    0  0.02   869.47   13 11.29  19  2 79  3.03 206.66 309.72
   34.26    2  0.08   315.42   14  4.22  19  2 80  3.04 199.95 306.13
    4.00    0  0.00   981.50    2  2.30  19  2 80  2.80 193.42 302.57
    4.00    0  0.00  1002.75    5  4.70  18  2 80  2.67 187.11 299.06
    4.00    1  0.00   332.00   11  3.66  19  2 79  2.57 181.02 295.59
   13.00    0  0.01   828.68    5  3.80  19  2 79  2.48 175.12 292.16
   66.00    0  0.01   851.55    6  5.15  19  2 79  2.41 169.42 288.77
   40.63    2  0.08   309.82   15  4.45  19  2 80  2.35 163.91 285.42
    4.00    0  0.00  1009.00    7  6.70  19  2 79  2.30 158.58 282.10
    4.00    0  0.00  1004.38    5  5.10  18  2 80  2.18 153.40 278.82
   17.78    1  0.02   462.09   19  8.48  19  2 80  2.15 148.42 275.59
    4.00    0  0.00   941.48   25 22.80  19  2 79  2.05 143.58 272.39
   15.50    2  0.02   255.21   14  3.51  19  2 79  2.04 138.92 269.23
   66.62    3  0.19   431.25   19  8.13  19  2 79  2.10 134.42 266.11
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
    5.33    1  0.00   483.63   18  8.74  19  2 79  2.09 130.06 263.02
    4.00    0  0.00   847.48    2  1.90  19  2 80  1.92 125.81 259.96
   20.64    2  0.05   290.76   19  5.48  18  2 80  1.93 121.74 256.95
   19.38    1  0.02   791.74    9  7.19  19  2 80  1.94 117.79 253.97
    4.00    0  0.00   998.81    8  7.90  19  2 79  1.88 113.96 251.02
   34.78    2  0.08   439.09   38 16.29  19  2 79  2.19 110.34 248.13
   66.00    0  0.01   902.53   17 14.89  18  2 80  2.16 106.77 245.25
   24.80    0  0.01   376.98    9  3.17  19  2 79  2.14 103.32 242.41
   66.18    1  0.07   275.06    9  2.39  19  2 80  2.04 99.97 239.60
   14.00    0  0.01   905.89    9  8.40  19  2 79  2.11 96.76 236.83
    4.00    0  0.00   935.80    8  7.40  20  2 77  1.94 93.61 234.07
   23.71    8  0.19    96.06   39  3.69  21  3 76  2.25 90.66 231.38
   56.00    1  0.03   195.63   16  3.08  20  2 78  2.13 87.72 228.69
    9.22   19  0.17    39.21  159  6.08  25  5 69  2.66 85.01 226.09
   14.01  101  1.38    30.34  280  8.30  30  5 65  2.85 82.34 223.49
   25.00    8  0.20   301.85   30  8.84  21  2 77  2.56 79.66 220.89
    6.40    1  0.01   661.60   13  8.72  23  3 74  2.64 77.14 218.34
   11.38    4  0.05   160.52   26  4.09  25  3 72  2.61 74.68 215.82
   38.00    0  0.01   345.66   17  5.60  21  3 76  2.52 72.29 213.32
   13.00    0  0.01   916.27   18 16.10  19  2 78  2.44 69.97 210.85
