              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  122.64   99 11.87   408.88   56 22.56  31  9 59  2.21 2.28 6.15
  596.42   90 52.71    29.85    7  0.20  19  5 75  2.18 2.27 6.10
  659.11   95 60.86    19.03    6  0.12  20  5 75  2.15 2.26 6.06
  362.43  129 45.75    16.15   11  0.17  23  6 71  2.13 2.25 6.01
  747.79   88 64.60    17.60    4  0.08  18  5 77  2.18 2.26 5.97
  715.38  118 82.28    16.24   10  0.16  19  5 75  2.23 2.26 5.92
  575.82  129 72.40    13.41   12  0.16  21  6 72  2.43 2.30 5.90
  140.31  378 51.76    18.76    7  0.14  19  7 74  2.44 2.31 5.86
  493.35  131 62.91    32.22    7  0.23  18  5 77  2.44 2.32 5.82
  580.34  107 60.85    14.35    8  0.11  19  5 76  2.52 2.34 5.78
  616.59  116 69.70    14.00    7  0.09  19  6 75  2.29 2.29 5.73
  552.56   88 47.42    10.92    7  0.08  22  5 73  3.13 2.48 5.75
   18.96 4451 82.41    11.80    8  0.09  20 11 69  2.81 2.43 5.70
   20.05 5300 103.78    14.59    7  0.11  17 13 70  2.83 2.45 5.66
   35.97 1805 63.41    14.67    6  0.09  20  8 73  2.70 2.43 5.62
  557.82  144 78.19    24.86   11  0.27  22  5 73  2.91 2.48 5.60
  361.77  146 51.46    22.81   40  0.90  19  5 76  2.62 2.44 5.55
  703.83  123 84.84    11.22   13  0.14  17  5 78  2.67 2.45 5.52
  645.66  104 65.42    15.14   10  0.15  19  5 75  2.71 2.47 5.49
  711.35   97 67.09    17.63    7  0.12  20  5 75  2.44 2.42 5.43
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  592.83  142 82.16    78.18   20  1.50  21  6 73  2.53 2.44 5.40
  696.59  115 78.47    19.11    9  0.17  18  6 77  2.44 2.42 5.36
  676.35   93 61.27    14.12    8  0.12  20  5 75  2.37 2.41 5.32
  742.31  106 76.83    14.52    8  0.11  20  6 74  2.16 2.36 5.27
  700.53  110 75.56    16.33    8  0.13  21  5 74  2.14 2.35 5.23
  737.83  106 76.58    18.27    7  0.12  19  5 75  2.04 2.32 5.19
  577.93  104 58.79    46.14   17  0.77  20  5 75  2.11 2.33 5.16
  679.62  114 75.95    18.46   10  0.17  19  6 75  2.02 2.30 5.12
  650.12   88 56.11    17.20   11  0.18  19  5 75  2.02 2.29 5.08
  770.66  104 78.40    19.71    8  0.16  22  5 73  2.15 2.31 5.05
  650.30   93 59.03    14.73    8  0.12  20  5 75  2.28 2.33 5.03
  692.10  102 68.84    19.06    8  0.14  20  6 74  2.23 2.32 4.99
  835.53   82 66.56    16.86    5  0.08  18  5 77  2.28 2.33 4.96
  557.73  106 57.55    82.04   14  1.10  18  5 77  2.15 2.30 4.92
  818.67   93 74.01    17.58   44  0.76  17  5 78  2.05 2.27 4.88
  803.40   95 74.28     9.47   14  0.13  18  5 78  2.05 2.26 4.85
  392.37  137 52.53     6.61   71  0.46  18  5 77  2.12 2.27 4.82
  643.58  125 78.36    15.05   62  0.91  18  5 77  2.19 2.28 4.79
  433.54  133 56.26    11.70   60  0.69  20  6 75  2.15 2.27 4.76
  375.76  232 85.05    33.90   73  2.41  20  6 74  2.36 2.31 4.75
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  289.53  193 54.50    29.99   18  0.54  21  5 74  2.38 2.31 4.72
  269.90  212 55.97     6.28   19  0.11  20  6 74  2.25 2.29 4.68
  229.13  285 63.78     7.15   23  0.16  21  6 73  2.13 2.26 4.64
  255.43  241 60.06     8.13   16  0.12  21  6 73  2.27 2.29 4.62
  683.36   93 62.07    36.09   13  0.45  27  8 65  2.61 2.36 4.62
  757.93  106 78.24     5.81   65  0.37  18  6 77  2.37 2.31 4.58
  873.61   81 68.80     9.05   12  0.11  17  5 78  2.24 2.29 4.54
  850.41  114 94.43    16.53    7  0.11  17  5 77  2.20 2.28 4.51
  790.78   99 76.69    15.04    7  0.10  17  5 77  2.32 2.30 4.49
  924.39   93 84.08    13.44   10  0.14  17  5 77  2.12 2.26 4.45
  859.19   86 72.52    22.07    5  0.12  17  5 78  2.18 2.26 4.43
  708.44   99 68.71    11.91   18  0.20  17  5 78  2.15 2.26 4.40
  894.07   88 76.83    21.87    5  0.10  17  5 78  2.05 2.23 4.37
  972.89   84 79.46    18.00    5  0.09  17  5 78  2.05 2.22 4.34
  813.76  109 86.82    16.86    6  0.11  17  5 78  2.12 2.23 4.32
  899.68   78 68.66    22.05    4  0.08  17  5 78  1.95 2.19 4.28
  800.91   85 66.13    29.81    4  0.12  18  4 78  1.96 2.18 4.25
  742.56   88 63.71    13.86    7  0.10  17  5 78  2.05 2.19 4.23
  889.49   83 72.47    20.19    4  0.08  17  5 78  2.04 2.19 4.20
  857.06   82 68.99    23.29    5  0.12  17  5 78  1.95 2.16 4.17
