              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  161.69   77 12.22   462.45   50 22.49  26  8 66  2.03 2.12 2.35
  755.60   37 27.28    55.68    4  0.20  95  4  1  3.39 2.41 2.45
  334.61   78 25.54   128.32   11  1.42  94  5  1  4.71 2.73 2.56
  625.03   47 28.79   168.29    5  0.90  94  4  3  5.91 3.05 2.68
  400.93   28 10.96   539.55   18  9.55  81  5 14  6.46 3.26 2.76
   12.92   36  0.46   473.42   45 20.75  72  4 24  6.73 3.42 2.82
   14.15   10  0.14   896.20   20 17.41  93  5  1  6.86 3.55 2.87
    9.81    4  0.04   925.29   14 12.55  95  4  1  7.41 3.78 2.96
   12.56   11  0.13   858.34   25 20.61  96  4  0  7.80 3.98 3.04
    9.40    4  0.04   880.84   20 17.62  96  4  0  8.13 4.18 3.12
   20.70    3  0.06   266.62    1  0.16  44  6 50  8.08 4.30 3.18
  173.36  163 27.55    77.26   35  2.60  82  6 12  7.94 4.39 3.22
  828.55   46 36.84   495.91    4  2.08  95  5  0  8.41 4.61 3.31
  855.12   32 26.70   114.32    3  0.35  94  5  2  8.18 4.69 3.35
  502.71   85 41.76   116.40   11  1.26  94  4  1  8.76 4.93 3.45
  633.70   65 40.52   264.57   10  2.71  93  5  2  8.95 5.10 3.53
  574.51   70 39.26   115.71    9  1.07  93  6  1  8.95 5.22 3.59
  417.36   70 28.60   187.00    8  1.53  95  5  0  9.19 5.40 3.67
  552.57  103 55.62    91.76   17  1.52  92  6  2  9.60 5.61 3.77
  442.05   98 42.42    55.25    7  0.37  95  5  0  9.66 5.76 3.84
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  541.83   66 34.96   154.93   13  2.03  94  5  1  9.63 5.88 3.91
  549.36   80 42.96    95.21    6  0.57  94  5  1  9.68 6.01 3.98
  932.53   53 48.35   213.85    4  0.86  95  5  0  9.57 6.11 4.04
  456.31   51 22.68   200.38    9  1.86  92  4  4  9.78 6.27 4.12
  846.89   43 35.31   263.79    4  0.98  94  4  1  9.19 6.26 4.14
  842.03   55 45.13   146.20    4  0.57  96  4  0  9.47 6.42 4.22
  426.70   53 22.24    48.71   38  1.81  95  4  1  9.19 6.45 4.26
  388.43  119 45.17   187.63   14  2.60  94  6  0  9.21 6.55 4.32
  449.40   91 39.89    92.11   18  1.60  94  5  1  9.41 6.68 4.39
  423.75   82 33.79    32.72   26  0.82  94  5  2  9.82 6.86 4.48
  683.22   87 58.15   147.46   15  2.14  95  5  0  10.15 7.03 4.57
  727.77   47 33.75    24.25   66  1.57  95  5  0  10.58 7.22 4.66
  561.50   99 54.27    78.31    8  0.63  93  5  2  10.35 7.28 4.71
  874.81   52 44.50   208.63    4  0.77  94  5  1  9.96 7.30 4.75
  664.22   56 36.19   113.69   12  1.37  94  4  2  9.61 7.31 4.78
  702.52   84 57.62    27.86   17  0.45  93  5  2  10.07 7.48 4.87
  356.47   76 26.42    37.61   44  1.62  95  3  1  9.76 7.50 4.91
  771.84   74 55.61   139.97   14  1.93  95  4  0  9.73 7.56 4.96
  353.01  105 36.13    49.22   51  2.46  95  4  1  10.12 7.72 5.05
  855.68   51 42.93   144.70    5  0.65  95  4  1  10.99 7.99 5.18
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  878.68   43 37.31   320.09    5  1.47  95  4  0  11.08 8.11 5.25
  588.01   48 27.44   398.06    7  2.56  95  4  2  10.84 8.16 5.30
  874.59   46 39.12   286.06    3  0.98  94  5  0  10.80 8.23 5.36
  853.09   39 32.15   320.00    3  0.94  95  4  1  10.75 8.31 5.42
  824.51   35 28.01   194.96    5  0.95  96  4  0  10.72 8.38 5.48
  233.85   13  3.01     9.83    2  0.02  95  4  1  10.53 8.42 5.52
  700.71   72 49.11   206.34    9  1.75  95  5  0  10.46 8.47 5.58
  566.97   57 31.83   263.00    7  1.85  94  5  1  10.62 8.57 5.65
  666.12   41 26.86   391.16    4  1.45  94  5  1  10.45 8.60 5.69
  763.75   73 54.43   168.51    9  1.43  95  4  1  10.59 8.69 5.76
  582.65   75 42.84   184.57    8  1.39  95  5  0  10.59 8.75 5.81
  813.10   46 36.75   286.71    3  0.87  95  4  1  10.19 8.73 5.84
  754.13   26 19.07   435.50    2  1.02  94  4  2  10.25 8.79 5.89
  576.30   49 27.51   125.51    8  0.94  94  4  2  10.36 8.86 5.95
  713.09   69 47.96   214.45    8  1.67  95  5  0  10.61 8.96 6.02
  663.02   77 49.97    64.19   11  0.68  93  4  3  10.42 8.98 6.06
  464.72   70 31.89   238.90    9  2.12  93  4  2  10.67 9.08 6.13
  794.95   41 31.98   280.39    6  1.70  95  5  1  10.80 9.16 6.19
  836.34   59 47.93   130.96    5  0.59  94  4  2  10.38 9.12 6.21
  738.20   56 40.51   245.93    6  1.39  95  4  0  10.47 9.18 6.27
