              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  269.62   88 23.24   211.66  321 66.27  33  7 61  1.44 23.22 97.29
   16.19   89  1.41   137.08 3071 411.12  74 21  5  2.99 22.84 96.28
  182.62  218 38.87   127.17 1235 153.35  31 10 59  2.61 22.10 95.16
  238.52  237 55.10   128.40  794 99.61  27  9 63  3.48 21.64 94.15
   15.71  105  1.61   124.66 3491 424.98  70 22  7  5.17 21.40 93.21
  153.92  172 25.88   141.68 2044 282.80  54 16 31  5.19 20.88 92.19
  192.18  219 41.04   142.42 1009 140.38  39 11 50  5.26 20.37 91.18
   16.41  104  1.67   130.85 3309 422.82  71 22  8  5.73 19.98 90.21
   92.15  138 12.41   140.29 2464 337.62  61 18 21  5.78 19.52 89.23
   18.53  100  1.81   129.23 3354 423.24  69 22  9  6.73 19.27 88.32
   14.78  104  1.50   131.42 3379 433.69  71 22  6  7.76 19.08 87.45
  135.06  145 19.18   134.11 2357 308.74  59 18 23  7.75 18.71 86.52
  182.84  225 40.14   143.98  930 130.78  31 11 58  7.03 18.19 85.54
   15.97   86  1.34   136.48 2932 390.73  73 21  6  7.97 18.02 84.69
  166.00  201 32.63   121.88 1889 224.83  43 14 44  7.87 17.68 83.79
  229.29  149 33.33   140.23 1308 179.08  40 12 48  7.78 17.33 82.89
   16.65  100  1.63   131.63 3429 440.72  70 22  8  8.57 17.18 82.08
   16.06   86  1.35   146.15 2900 413.84  71 22  7  8.79 16.94 81.23
   16.41  101  1.63   126.02 3510 431.93  69 22  9  8.83 16.68 80.39
   26.09  114  2.91   128.38 2630 329.70  61 19 20  9.47 16.56 79.60
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  196.31  232 44.48   129.32 1072 135.38  30 10 60  8.56 16.13 78.71
  277.74  241 65.24    40.71   15  0.61  14  4 81  7.33 15.62 77.80
  226.82  240 53.20    12.60   20  0.25  10  4 85  6.35 15.13 76.90
  233.75  215 48.98   143.79  388 54.47  17  6 77  6.25 14.82 76.07
   20.75  101  2.04   135.12 3136 413.82  71 21  8  6.97 14.69 75.31
   19.17   87  1.63   132.47 2903 375.50  71 21  8  7.75 14.60 74.56
   18.00   78  1.37   145.99 2710 386.41  72 21  7  8.00 14.43 73.80
   20.26   95  1.88   133.89 3132 409.46  69 22 10  8.25 14.27 73.05
   16.83  102  1.68   131.79 3313 426.36  70 22  9  8.32 14.08 72.30
  172.72  266 44.84   135.32 1629 215.23  45 14 41  8.03 13.83 71.53
  188.49  306 56.39   118.01  785 90.42  28  9 63  7.98 13.62 70.78
   22.69  113  2.50   121.33 3230 382.73  64 22 14  8.02 13.44 70.05
   21.48  105  2.19   121.34 3212 380.60  66 21 12  8.24 13.31 69.34
   19.44  127  2.41   120.33 3538 415.76  63 22 15  8.97 13.30 68.68
   18.15   99  1.76   124.97 2988 364.62  67 22 11  8.84 13.12 67.97
  161.95  232 36.62   126.63 1954 241.60  48 16 36  8.66 12.95 67.27
   64.41  126  7.94   126.72 2881 356.49  64 22 14  9.77 13.05 66.67
   17.30  102  1.72   125.24 3333 407.58  66 23 11  10.97 13.20 66.09
  184.75  247 44.52   125.42 2136 261.56  48 16 36  10.26 12.98 65.40
  196.03  286 54.71   126.53 1000 123.51  32 12 56  10.16 12.86 64.74
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
   17.95  116  2.04   126.71 3531 436.94  65 23 12  10.77 12.90 64.15
   16.89   97  1.59   131.46 3099 397.82  70 22  8  10.47 12.77 63.50
   17.32  109  1.84   127.27 3385 420.73  70 23  8  11.22 12.86 62.94
   23.03   94  2.12   130.68 3067 391.34  70 22  9  11.34 12.83 62.35
  171.43  197 32.93   135.98 2124 282.08  54 16 29  10.57 12.62 61.69
  229.66  380 85.16     6.94   25  0.17  14  5 81  9.26 12.27 61.00
  200.27  289 56.56   115.61  927 104.62  26 10 64  8.59 12.08 60.64
   60.58  116  6.89   125.43 2767 338.90  64 20 17  8.86 12.03 60.06
  240.66  363 85.23     9.05   27  0.24  17  6 78  7.58 11.65 59.36
  243.03  345 81.87     9.28   25  0.23  17  6 77  6.96 11.38 58.71
   92.30  182 16.40   128.85 2471 310.95  53 17 30  7.16 11.27 58.12
  213.08  306 63.59   148.63  908 131.86  36 11 53  7.33 11.18 57.54
  236.71  360 83.12     7.73   34  0.26  14  6 80  6.90 10.96 56.92
  254.78  371 92.40     7.82   31  0.24  17  6 78  6.07 10.65 56.27
  161.63  227 35.89   124.84 1904 232.10  45 15 40  6.48 10.58 55.71
   15.05  110  1.62   124.54 3565 433.61  68 23  8  7.66 10.69 55.22
   16.17   93  1.46   135.39 3137 414.78  70 23  7  6.85 10.42 54.60
   18.86  103  1.90   129.00 3197 402.79  68 22 10  7.08 10.35 54.06
   16.82  105  1.72   126.81 3374 417.80  68 22  9  8.23 10.49 53.60
  159.14  237 36.84   134.54 1547 203.24  43 14 43  8.90 10.56 53.12
