              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  387.14  140 52.89   404.96   51 20.19  21 16 63  7.21 7.03 5.09
  782.39  373 284.62   749.86   73 53.79  58 28 15  16.64 9.07 5.83
  702.07  271 185.86   730.15  139 99.36  37 19 43  14.85 8.93 5.82
  822.30  214 172.17   859.80  128 107.80  35 19 45  13.04 8.74 5.79
   76.71   29  2.16   940.25  120 109.99  15  9 76  11.42 8.53 5.75
   22.80   49  1.09   824.69  134 107.66  13  9 78  9.90 8.30 5.70
   67.27   26  1.73   937.19  122 111.26  19 12 69  8.76 8.11 5.66
    5.83   23  0.13   949.69  124 114.94  19 12 69  7.87 7.94 5.63
  777.03  238 180.71   842.60  129 105.96  41 21 38  11.26 8.69 5.93
  789.00  267 205.55   877.53  127 109.08  52 27 22  11.24 8.77 5.98
   39.18   25  0.97   938.65  122 111.98  18 11 72  10.14 8.61 5.96
   74.78   36  2.61   927.67  121 109.50  17 11 73  8.88 8.39 5.91
   92.63   19  1.72   951.65  120 111.77  16 10 74  7.75 8.16 5.86
    4.00    1  0.00   944.88  123 113.45  17 11 72  6.87 7.96 5.82
  750.16  258 189.33   868.75  128 108.40  43 22 35  7.12 7.98 5.85
  757.93  229 169.33   834.65  128 104.73  37 20 43  7.05 7.93 5.85
  649.01   51 32.24   835.92  128 104.11  23 13 64  6.91 7.87 5.86
   39.84   26  1.00   937.01  120 109.47  18 11 72  6.39 7.72 5.83
  103.79   17  1.72   921.93  123 110.97  18 10 71  5.56 7.50 5.77
  743.89  195 141.31   803.98  121 95.31  33 17 50  10.62 8.48 6.14
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  718.07  262 183.66   826.80   94 75.60  44 21 35  15.40 9.62 6.57
    7.63   35  0.26   896.42  122 106.64  18 11 72  13.19 9.34 6.51
   10.52    5  0.06   909.95  126 112.19  21 12 67  11.62 9.13 6.46
   13.91   32  0.44   953.05  116 108.31  17 11 72  10.07 8.88 6.41
    5.75   21  0.12   944.29  116 107.39  19 11 70  8.76 8.63 6.35
  788.87  217 167.42   789.02  104 80.03  36 18 46  13.64 9.64 6.73
  722.82  304 214.33   803.64   91 71.38  48 23 29  17.83 10.71 7.15
    5.22    6  0.03   857.84  128 106.96  15  9 76  15.63 10.48 7.10
    6.01   25  0.15   925.86  121 109.12  16  9 75  13.62 10.21 7.05
    6.04   44  0.26   938.96  118 107.81  20 11 70  12.22 10.02 7.02
    5.51   20  0.11   870.18  127 108.00  17  9 74  11.17 9.88 7.00
    7.50   17  0.13   912.06  122 108.71  14  8 78  10.14 9.70 6.97
    6.65   32  0.21   845.29  127 104.72  14  9 78  9.12 9.49 6.93
    5.49   23  0.12   814.62  133 105.84  19 11 70  8.17 9.28 6.88
  813.36  117 92.57   885.31  126 109.23  27 14 59  7.22 9.04 6.83
  692.25  278 188.11   862.48  122 103.08  45 23 33  8.39 9.22 6.92
  828.28  129 103.97   831.77  127 103.51  27 15 58  8.04 9.13 6.90
    7.22   20  0.14   888.58  124 107.41  14 10 76  7.35 8.95 6.86
    7.00   40  0.28   727.41  140 99.49  14  9 77  6.45 8.70 6.80
   50.90   19  0.92   951.29  115 106.92  16 10 74  6.13 8.56 6.77
              disk0               disk1       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  412.00    2  0.80   939.01  117 107.27  15  9 76  5.73 8.40 6.73
  733.91  299 214.27   844.12  125 103.03  42 21 37  5.38 8.23 6.69
  771.06  307 230.88   862.54  122 102.99  47 24 29  6.44 8.36 6.75
  663.10    3  2.01   940.54  112 102.81  15  9 77  5.82 8.17 6.70
   77.45   35  2.62   928.43  114 103.62  11  7 82  5.16 7.95 6.64
  765.12  109 81.65   893.51  110 95.79  22 13 66  4.75 7.77 6.59
  807.58  203 159.87   823.90   99 79.86  42 21 37  9.57 8.73 6.95
  740.96  212 153.13   852.24  122 101.50  36 18 46  9.35 8.71 6.96
  818.52  170 135.58   879.68  119 102.52  31 17 51  8.46 8.54 6.92
  760.46  138 102.18   882.72  119 102.75  25 15 60  7.46 8.32 6.86
   42.38   23  0.97   916.23  115 103.05  13  9 78  6.62 8.11 6.81
    9.76  427  4.08   539.54  174 91.47  15  9 76  5.89 7.91 6.75
    8.95   29  0.25   934.92  117 106.50  18 11 71  5.28 7.72 6.69
   34.39   31  1.03   916.94  116 103.77  17 10 73  4.78 7.53 6.64
  805.25  151 119.05   862.20  110 92.44  27 14 58  4.20 7.31 6.57
  746.97  280 204.58   815.18   96 76.62  40 20 40  10.42 8.59 7.04
   42.25   25  1.04   922.40  115 104.00  15  9 76  9.45 8.44 7.00
   10.39   11  0.12   913.24  117 104.29  13  7 79  8.52 8.28 6.96
  376.18    2  0.81   927.44  117 106.32  16 10 74  7.73 8.12 6.92
   11.17   16  0.18   941.02  113 103.91  16  9 75  6.86 7.92 6.86
