              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  105.90   78  8.10   5  7 88  3.39 5.41 6.45
   34.18  148  4.95  11 47 41  4.67 5.63 6.51
   32.48  463 14.70  10 47 43  5.10 5.69 6.52
   98.23   59  5.71  10 47 43  5.79 5.81 6.56
   54.92   28  1.53   9 46 45  5.89 5.83 6.56
   84.19  116  9.53  11 47 42  6.46 5.96 6.59
   47.95   32  1.51  10 47 43  6.61 6.01 6.60
   83.56   37  3.05  10 47 43  6.75 6.05 6.61
  128.27   71  8.94  12 49 39  7.44 6.22 6.66
   58.02  106  6.00  10 45 44  7.29 6.23 6.66
  159.98   55  8.65  11 48 41  7.41 6.29 6.67
   53.05  131  6.81  13 49 38  7.35 6.31 6.68
  167.60   51  8.38  11 48 41  7.30 6.33 6.68
   39.61  362 13.99  10 47 43  7.77 6.47 6.72
  114.36   74  8.23  10 47 43  8.18 6.60 6.77
   38.88  296 11.25  11 47 42  8.00 6.61 6.77
   81.40  110  8.72  11 48 41  8.00 6.66 6.78
  182.53  407 72.54  11 47 41  7.53 6.60 6.76
