              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  105.98   78  8.12   5  7 88  2.98 5.37 6.26
  207.22  392 79.35  13 49 38  3.43 5.39 6.26
  107.55  754 79.19  15 52 33  3.90 5.42 6.26
   54.18  253 13.40  14 50 36  4.44 5.49 6.28
   67.06  175 11.46  13 49 38  4.76 5.52 6.28
   30.78  170  5.11  11 48 41  5.03 5.55 6.28
   95.21   44  4.10  12 48 40  5.55 5.65 6.31
   77.39   57  4.29  11 48 41  5.68 5.68 6.31
  153.11   64  9.55  11 48 41  6.05 5.75 6.33
   94.70  104  9.66  14 51 36  6.59 5.88 6.36
  208.15  594 120.76  17 50 33  6.43 5.86 6.35
  203.90  131 26.08  12 40 49  6.34 5.87 6.35
   79.58   40  3.11  12 41 47  5.82 5.77 6.31
  138.14   97 13.11  10 39 51  5.84 5.78 6.30
  145.71   61  8.65  10 40 51  5.57 5.72 6.28
   46.83  355 16.22  11 39 50  5.49 5.70 6.26
   86.24  131 11.05   9 38 52  5.88 5.77 6.28
  105.79   43  4.40   9 38 53  5.57 5.71 6.25
