              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  111.23   76  8.27   5  8 87  3.17 4.65 4.23
  244.01  514 122.58  18 51 32  3.91 4.75 4.27
  186.85  160 29.19  17 50 34  4.55 4.86 4.32
  139.20  127 17.22  16 50 34  4.92 4.93 4.35
  191.51 1417 264.97  22 53 25  5.40 5.03 4.39
  149.98  108 15.86  16 50 34  5.80 5.13 4.43
  141.34   80 11.11  16 50 34  6.29 5.26 4.48
  168.75  109 18.04  16 49 35  6.40 5.31 4.51
  207.15   76 15.37  16 49 35  6.57 5.38 4.55
  187.00  162 29.50  16 49 35  6.56 5.42 4.57
  220.20   12  2.64  16 49 35  6.63 5.47 4.60
  192.58  107 20.14  16 49 35  6.84 5.55 4.64
   61.08  482 28.74  16 51 33  7.19 5.67 4.69
  102.27  160 15.97  16 45 38  7.39 5.76 4.73
   70.42   12  0.82  16 47 37  7.49 5.83 4.77
   78.23   79  6.04  16 50 34  7.86 5.97 4.83
  163.60   69 11.05  17 51 32  8.08 6.08 4.88
  219.48   39  8.32  17 51 31  8.08 6.15 4.92
