              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  144.77   89 12.54   6 10 85  2.62 3.48 3.14
  216.76  504 106.72   9 27 64  2.91 3.52 3.15
  230.29   71 15.94   5 24 71  2.77 3.47 3.14
   86.45   96  8.10   6 25 69  2.89 3.47 3.14
   98.15   81  7.74   6 25 69  2.68 3.40 3.12
  120.86  120 14.22   6 25 68  2.81 3.41 3.13
  189.95  405 75.20   8 26 66  3.08 3.44 3.14
  179.14  211 36.93   8 27 66  3.22 3.46 3.15
  217.50   50 10.72   6 25 69  3.50 3.51 3.17
   73.69   61  4.38   6 25 70  3.27 3.46 3.16
  103.97   63  6.36   6 26 69  3.61 3.53 3.19
   40.51  358 14.15   6 25 69  3.44 3.49 3.18
   72.52   56  3.98   5 25 70  3.38 3.48 3.18
   95.38   41  3.85   6 26 68  3.32 3.46 3.17
   41.62  406 16.50   6 25 69  3.27 3.44 3.17
   68.81   85  5.74   6 25 69  3.23 3.43 3.17
  129.72  828 104.84   6 28 66  3.19 3.41 3.16
  143.47  597 83.61   7 26 68  3.15 3.40 3.16
  187.92  286 52.58   6 26 68  3.20 3.40 3.17
  115.34  532 59.97   6 26 67  3.31 3.42 3.17
              disk0       cpu    load average
    KB/t  tps  MB/s  us sy id   1m   5m   15m
  185.00  124 22.36   8 26 67  3.65 3.49 3.20
  215.08  251 52.78   8 27 65  3.71 3.51 3.21
  200.74  698 136.82   9 29 62  4.07 3.59 3.24
  215.89 3178 670.10  10 37 52  4.36 3.67 3.27
  228.37 1905 424.76   8 31 61  4.56 3.73 3.30
  144.25 1599 225.31   8 29 63  4.63 3.77 3.32
  219.12  564 120.62   8 29 63  4.94 3.86 3.36
  235.07 2343 537.78   9 32 60  5.18 3.95 3.39
  181.53 1144 202.82   9 30 61  4.86 3.92 3.39
  230.71 1106 249.29   7 27 66  4.80 3.93 3.40
